{'method': 'CDAN+E', 'gpu': '0', 'num_iterations': 150000, 'test_interval': 200, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san/log.txt' mode='w' encoding='UTF-8'>, 'prep': {'test_10crop': False, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 87}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.0002, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office', 'data': {'source': {'list_path': '/home/adarsh/project/CDAN/pytorch/sketchy_train.txt', 'batch_size': 32}, 'target': {'list_path': '/home/adarsh/project/CDAN/pytorch/quick_draw_train.txt', 'batch_size': 32}, 'test': {'list_path': '/home/adarsh/project/CDAN/pytorch/quick_draw_val.txt', 'batch_size': 32}, 'source_test': {'list_path': '/home/adarsh/project/CDAN/pytorch/sketchy_val.txt', 'batch_size': 32}}}iter: 00199, precision: 0.05747
iter: 00399, precision: 0.12779
iter: 00599, precision: 0.15731
iter: 00799, precision: 0.16655
iter: 00999, precision: 0.21839
iter: 01199, precision: 0.21704
iter: 01399, precision: 0.23890
iter: 01599, precision: 0.25851
iter: 01799, precision: 0.24363
iter: 01999, precision: 0.26437
iter: 02199, precision: 0.27113
iter: 02399, precision: 0.28758
iter: 02599, precision: 0.31012
iter: 02799, precision: 0.30178
iter: 02999, precision: 0.31170
iter: 03199, precision: 0.31756
iter: 03399, precision: 0.32094
iter: 03599, precision: 0.33266
iter: 03799, precision: 0.32071
iter: 03999, precision: 0.32297
iter: 04199, precision: 0.32995
iter: 04399, precision: 0.34032
iter: 04599, precision: 0.34753
iter: 04799, precision: 0.34866
iter: 04999, precision: 0.34979
iter: 05199, precision: 0.35046
iter: 05399, precision: 0.33626
iter: 05599, precision: 0.35114
iter: 05799, precision: 0.35227
iter: 05999, precision: 0.35722
iter: 06199, precision: 0.36556
iter: 06399, precision: 0.36308
iter: 06599, precision: 0.36331
iter: 06799, precision: 0.36128
iter: 06999, precision: 0.36624
iter: 07199, precision: 0.35812
iter: 07399, precision: 0.36804
iter: 07599, precision: 0.35903
iter: 07799, precision: 0.36534
iter: 07999, precision: 0.36083
iter: 08199, precision: 0.36286
iter: 08399, precision: 0.37525
iter: 08599, precision: 0.37368
iter: 08799, precision: 0.36489
iter: 08999, precision: 0.36917
iter: 09199, precision: 0.36804
iter: 09399, precision: 0.36894
iter: 09599, precision: 0.37841
iter: 09799, precision: 0.37548
iter: 09999, precision: 0.37097
iter: 10199, precision: 0.37751
iter: 10399, precision: 0.38337
iter: 10599, precision: 0.39080
iter: 10799, precision: 0.37999
iter: 10999, precision: 0.37999
iter: 11199, precision: 0.38201
iter: 11399, precision: 0.38765
iter: 11599, precision: 0.38179
iter: 11799, precision: 0.38675
iter: 11999, precision: 0.38742
iter: 12199, precision: 0.38742
iter: 12399, precision: 0.39171
iter: 12599, precision: 0.38697
iter: 12799, precision: 0.38923
iter: 12999, precision: 0.39193
iter: 13199, precision: 0.39283
iter: 13399, precision: 0.39058
iter: 13599, precision: 0.39644
iter: 13799, precision: 0.39779
iter: 13999, precision: 0.39712
iter: 14199, precision: 0.39373
iter: 14399, precision: 0.39621
iter: 14599, precision: 0.38652
iter: 14799, precision: 0.39419
iter: 14999, precision: 0.39148
iter: 15199, precision: 0.38990
iter: 15399, precision: 0.39599
iter: 15599, precision: 0.39351
iter: 15799, precision: 0.40095
iter: 15999, precision: 0.39712
iter: 16199, precision: 0.39779
iter: 16399, precision: 0.39869
iter: 16599, precision: 0.40185
iter: 16799, precision: 0.39666
iter: 16999, precision: 0.40343
iter: 17199, precision: 0.40117
iter: 17399, precision: 0.40365
iter: 17599, precision: 0.39892
iter: 17799, precision: 0.40095
iter: 17999, precision: 0.40590
iter: 18199, precision: 0.40343
iter: 18399, precision: 0.40500
iter: 18599, precision: 0.40297
iter: 18799, precision: 0.40636
iter: 18999, precision: 0.41244
iter: 19199, precision: 0.41244
iter: 19399, precision: 0.40906
iter: 19599, precision: 0.41267
iter: 19799, precision: 0.39937
iter: 19999, precision: 0.40523
iter: 20199, precision: 0.40410
iter: 20399, precision: 0.41109
iter: 20599, precision: 0.40816
iter: 20799, precision: 0.40185
iter: 20999, precision: 0.40771
iter: 21199, precision: 0.40974
iter: 21399, precision: 0.40974
iter: 21599, precision: 0.41402
iter: 21799, precision: 0.41176
iter: 21999, precision: 0.40365
iter: 22199, precision: 0.41560
iter: 22399, precision: 0.40771
iter: 22599, precision: 0.40996
iter: 22799, precision: 0.40838
iter: 22999, precision: 0.41086
iter: 23199, precision: 0.41199
iter: 23399, precision: 0.41357
iter: 23599, precision: 0.41154
iter: 23799, precision: 0.40636
iter: 23999, precision: 0.41469
iter: 24199, precision: 0.41109
iter: 24399, precision: 0.41244
iter: 24599, precision: 0.41627
iter: 24799, precision: 0.41717
iter: 24999, precision: 0.40883
iter: 25199, precision: 0.41875
iter: 25399, precision: 0.41582
iter: 25599, precision: 0.40793
iter: 25799, precision: 0.41379
iter: 25999, precision: 0.41695
iter: 26199, precision: 0.41537
iter: 26399, precision: 0.41898
iter: 26599, precision: 0.40996
iter: 26799, precision: 0.41469
iter: 26999, precision: 0.40613
iter: 27199, precision: 0.41244
iter: 27399, precision: 0.41717
iter: 27599, precision: 0.41289
iter: 27799, precision: 0.42191
iter: 27999, precision: 0.42168
iter: 28199, precision: 0.41469
iter: 28399, precision: 0.41898
iter: 28599, precision: 0.42303
iter: 28799, precision: 0.42213
iter: 28999, precision: 0.42033
iter: 29199, precision: 0.42664
iter: 29399, precision: 0.41357
iter: 29599, precision: 0.41853
iter: 29799, precision: 0.41875
iter: 29999, precision: 0.40951
iter: 30199, precision: 0.41447
iter: 30399, precision: 0.42123
iter: 30599, precision: 0.41853
iter: 30799, precision: 0.42258
iter: 30999, precision: 0.41920
iter: 31199, precision: 0.41312
iter: 31399, precision: 0.41379
iter: 31599, precision: 0.42101
iter: 31799, precision: 0.41785
iter: 31999, precision: 0.42101
iter: 32199, precision: 0.42574
iter: 32399, precision: 0.42822
iter: 32599, precision: 0.42619
iter: 32799, precision: 0.41492
iter: 32999, precision: 0.41875
iter: 33199, precision: 0.41875
iter: 33399, precision: 0.41920
iter: 33599, precision: 0.42394
iter: 33799, precision: 0.42123
iter: 33999, precision: 0.42371
iter: 34199, precision: 0.42371
iter: 34399, precision: 0.41988
iter: 34599, precision: 0.41515
iter: 34799, precision: 0.41357
iter: 34999, precision: 0.41515
iter: 35199, precision: 0.41717
iter: 35399, precision: 0.41785
iter: 35599, precision: 0.42867
iter: 35799, precision: 0.41334
iter: 35999, precision: 0.42010
iter: 36199, precision: 0.42394
iter: 36399, precision: 0.42506
iter: 36599, precision: 0.42979
iter: 36799, precision: 0.42055
iter: 36999, precision: 0.42348
iter: 37199, precision: 0.42461
iter: 37399, precision: 0.41965
iter: 37599, precision: 0.41853
iter: 37799, precision: 0.42146
iter: 37999, precision: 0.41762
iter: 38199, precision: 0.42619
iter: 38399, precision: 0.41537
iter: 38599, precision: 0.42732
iter: 38799, precision: 0.42146
iter: 38999, precision: 0.42236
